English,Turkish
practically,pratikte
odd,garip
wash,yıkamak
sing,şarkı söylemek
inch,inç
size,boyut
secret,gizli
who's,Kim
clock,saat
company,şirket
view,görüş
suit,uygun olmak
forever,sonsuza kadar
familiar,aşina
forehead,alın
shoot,film çekmek
grew,büyümüş
stretch,uzatmak
pound,pound
despite,aksine
response,cevap
center,merkez
curl,kıvrılmak
slight,hafif
toss,atmak
beneath,altında
fist,yumruk
welcome,Hoş geldin
laughter,kahkaha
angel,melek
Christmas,Noel
we'd,evlenmek
main,ana
simple,basit
neither,hiç biri
distance,mesafe
comfort,konfor
upset,üzgün
assume,farz etmek
eight,sekiz
gather,toplamak
lucky,şanslı
fade,solmak
Ms.,Hanım.
coat,kaban
special,özel
awkward,garip
certain,kesin
plate,plaka
darkness,karanlık
practice,pratik
obvious,bariz
grade,seviye
cream,krem
choice,seçenek
hardly,zorlu
pale,solgun
thin,ince
button,düğme
chocolate,çikolata
refuse,reddetmek
slid,kayma
pillow,yastık
thirty,otuz
count,saymak
honestly,Açıkçası
poor,fakir
motion,hareket
storm,fırtına
lightly,hafifçe
nobody,hiç kimse
experience,deneyim
path,yol
period,dönem
dare,cesaret etmek
demand,talep etmek
comfortable,rahat
clearly,Açıkça
silver,gümüş
peer,akran
birthday,doğum günü
disgust,tiksinme
embarrass,utandırmak
bought,satın alınmış
test,Ölçek
lap,kucak
bet,bahis
loudly,yüksek sesle
driver,şoför
murmur,mırıldanma
taste,tatmak
perfectly,kusursuzca
squeeze,sıkmak
board,pano
worth,değer
fold,katlamak
spread,yaymak
crap,saçmalık
emotion,duygu
subject,ders
pour,dökün
laid,yataklı
lower,daha düşük
mile,mil
yea,evet
page,sayfa
pile,istif
snow,kar
message,İleti
English,İngilizce
scene,sahne
sink,atmak
fail,hata
forgot,unutmuş olmak
hole,delik
silently,sessizce
heat,sıcaklık
weekend,hafta sonu
drew,çizdi
guitar,gitar
sweat,ter
unless,meğer ki
cloud,bulut
waist,bel
slap,tokat
argue,tartışmak
grass,çimen
idiot,salak
screen,ekran
yesterday,Dün
swear,küfür
twin,ikiz
instantly,aniden
apart,ayrı
narrow,dar
opposite,zıt
blow,üflemek
wrist,bilek
earth,toprak
action,aksiyon
circle,daire
forgotten,unutulmuş
list,liste
closet,dolap
drunk,sarhoş
shape,şekil
yellow,sarı
twist,bükmek
weight,ağırlık
smart,akıllı
it'll,olacak
treat,davranmak
pool,havuz
prepare,hazırlanmak
awake,uyanmak
certainly,kesinlikle
tease,alay etmek
contact,temas etmek
slide,slayt
wonderful,müthiş
bitch,orospu
reveal,ortaya çıkarmak
swing,sallanmak
truck,kamyon
anywhere,herhangi bir yer
flower,çiçek
upstairs,üst katta
hers,onunki
itself,kendisi
wander,dolaşmak
downstairs,alt kat
football,Futbol
possibly,muhtemelen
rip,Huzur içinde yatsın
forest,orman
mostly,çoğunlukla
bloody,kanlı
church,kilise
gay,eşcinsel
stone,taş
husband,koca
sex,seks
trick,kandırmak
yours,seninki
growl,hırlamak
club,kulüp
Friday,Cuma
stage,sahne
include,katmak
sip,Yudumlamak
invite,davet etmek
sharp,keskin
convince,ikna etmek
sheet,çarşaf
absolutely,kesinlikle
orange,turuncu
relief,rahatlama
apologize,özür dilemek
art,sanat
hell,cehennem
remove,kaldırmak
crash,kaza
