English,Turkish
practically,pratikte
odd,garip
wash,yıkamak
sing,şarkı söylemek
inch,inç
secret,gizli
who's,Kim
clock,saat
company,şirket
suit,uygun olmak
forever,sonsuza kadar
familiar,aşina
forehead,alın
shoot,film çekmek
grew,büyümüş
stretch,uzatmak
pound,pound
despite,aksine
center,merkez
curl,kıvrılmak
toss,atmak
welcome,Hoş geldin
laughter,kahkaha
angel,melek
Christmas,Noel
we'd,evlenmek
comfort,konfor
assume,farz etmek
eight,sekiz
gather,toplamak
lucky,şanslı
fade,solmak
coat,kaban
special,özel
awkward,garip
certain,kesin
plate,plaka
practice,pratik
obvious,bariz
grade,seviye
cream,krem
choice,seçenek
hardly,zorlu
pale,solgun
thin,ince
chocolate,çikolata
refuse,reddetmek
slid,kayma
count,saymak
honestly,Açıkçası
poor,fakir
storm,fırtına
lightly,hafifçe
nobody,hiç kimse
experience,deneyim
path,yol
period,dönem
dare,cesaret etmek
demand,talep etmek
comfortable,rahat
clearly,Açıkça
silver,gümüş
peer,akran
birthday,doğum günü
disgust,tiksinme
embarrass,utandırmak
bought,satın alınmış
test,Ölçek
bet,bahis
driver,şoför
murmur,mırıldanma
taste,tatmak
perfectly,kusursuzca
squeeze,sıkmak
board,pano
worth,değer
fold,katlamak
spread,yaymak
crap,saçmalık
emotion,duygu
subject,ders
pour,dökün
laid,yataklı
mile,mil
yea,evet
page,sayfa
pile,istif
snow,kar
message,İleti
English,İngilizce
scene,sahne
sink,atmak
fail,hata
forgot,unutmuş olmak
hole,delik
silently,sessizce
weekend,hafta sonu
drew,çizdi
guitar,gitar
sweat,ter
waist,bel
slap,tokat
argue,tartışmak
grass,çimen
idiot,salak
screen,ekran
yesterday,Dün
swear,küfür
instantly,aniden
narrow,dar
opposite,zıt
blow,üflemek
earth,toprak
action,aksiyon
circle,daire
forgotten,unutulmuş
closet,dolap
drunk,sarhoş
shape,şekil
yellow,sarı
twist,bükmek
weight,ağırlık
smart,akıllı
it'll,olacak
pool,havuz
certainly,kesinlikle
contact,temas etmek
slide,slayt
wonderful,müthiş
bitch,orospu
reveal,ortaya çıkarmak
swing,sallanmak
anywhere,herhangi bir yer
upstairs,üst katta
hers,onunki
downstairs,alt kat
football,Futbol
possibly,muhtemelen
rip,Huzur içinde yatsın
forest,orman
mostly,çoğunlukla
bloody,kanlı
gay,eşcinsel
stone,taş
sex,seks
trick,kandırmak
yours,seninki
growl,hırlamak
Friday,Cuma
invite,davet etmek
sheet,çarşaf
absolutely,kesinlikle
orange,turuncu
relief,rahatlama
apologize,özür dilemek
art,sanat
crash,kaza
